Keyword,Rank,URL,Domain,PageType,Title,H1,WC_Main,WC_Total,Pricing,Packages,FAQ,Reviews,Images,InternalLinks
"animatori petreceri copii București",1,"https://www.cool-events.ro/animatori-petreceri-copii/","www.cool-events.ro","landing","Animatori Petreceri Copii In Bucuresti - Cool Events","Închiriere Animatori Petreceri Copii în București",724,862,true,true,false,false,46,5
"animatori petreceri copii București",2,"https://animatori-petreceri-copii.ro/","animatori-petreceri-copii.ro","homepage","Animatori petreceri copii Bucuresti si Ilfov - Ursulla","Animatori petreceri copii",2583,941,true,true,false,false,3,19
"animatori petreceri copii București",3,"https://www.funevents.ro/animatori-petreceri-copii-la-domiciliu-bucuresti-si-ilfov/","www.funevents.ro","landing","Animatori petreceri copii la domiciliu Bucuresti si Ilfov - Fun Events","Animatori petreceri copii la domiciliu Bucuresti si Ilfov",1064,1603,true,true,false,false,23,3
"animatori petreceri copii București",4,"https://dizemanepe.ro/","dizemanepe.ro","homepage","Organizare Petreceri Copii Bucuresti ▷ DizemanepeFacebookInstagramTwitter","Organizare Petreceri Copii",2988,1321,true,true,true,false,11,38
"animatori petreceri copii București",5,"https://www.olx.ro/bucuresti/q-animator-copii/","www.olx.ro","service","Animator copii in Bucuresti - Nu rata ofertele| OLX.ro","Servicii animator copii in Bucuresti",807,807,true,false,false,false,47,137
"animatori petreceri copii București",6,"https://zoukaevents.ro/","zoukaevents.ro","homepage","Petreceri Tematice Zouka Events – Petreceri tematice și animatori copii București | Organizare Evenimente","Animatori petreceri copii Bucuresti & Ilfov",1272,1338,true,false,false,true,15,65
"animatori petreceri copii București",7,"https://www.animatorpetrecericopii.ro/","www.animatorpetrecericopii.ro","homepage","Servicii animatori copii Bucuresti si Ilfov - Animator Petreceri Copiicall-answercall-answermail-black-envelope-symbol","Organizam cele mai tari petreceri cu animatori pentru copilul tau!",275,1208,true,true,false,true,26,27
"animatori petreceri copii București",8,"https://yokidoki.ro/","yokidoki.ro","homepage","Yoki Doki - Animatori și petreceri pentru copii în România","Kids Event Agency",495,495,false,true,false,true,150,2
"animatori petreceri copii București",9,"https://animatoriiveseli.ro/","animatoriiveseli.ro","homepage","Animatori petreceri copii in Bucuresti | Divertisment","Închirieri Animatori petreceri copii
în București și Ilfov!",2943,1099,true,true,false,false,124,162
"mascote petreceri copii București",1,"https://paradisulpersonajelor.ro/animatie-copii/","paradisulpersonajelor.ro","service","Animatii petreceri copii bucuresti | Paradisul Personajelor","Descoperă ofertele noastre deanimatie pentru copii!",1192,1321,true,true,false,false,28,3
"mascote petreceri copii București",2,"https://www.olx.ro/servicii-afaceri-colaborari/nunti-botezuri-evenimente/bucuresti-ilfov-judet/q-mascote/","www.olx.ro","service","mascote Bucuresti - Ilfov ' Evenimente ' OLX.ro","mascote Bucuresti - Ilfov ' Evenimente ' OLX.ro",1201,1201,true,false,false,false,74,186
"mascote petreceri copii București",3,"https://zoukaevents.ro/","zoukaevents.ro","homepage","Petreceri Tematice Zouka Events – Petreceri tematice și animatori copii București | Organizare Evenimente","Animatori petreceri copii Bucuresti & Ilfov",1272,1338,true,false,false,true,15,65
"mascote petreceri copii București",4,"https://www.bluparty.ro/personaje/","www.bluparty.ro","service","Animatori Petreceri Copii Bucuresti si Ilfov - BluParty","Alba ca zapada",155,517,true,false,false,true,75,14
"mascote petreceri copii București",5,"https://www.anastasiaevents.ro/animatori-si-mascote/","www.anastasiaevents.ro","landing","ANIMATORI SI MASCOTE - Petreceri copii 2026elrond-logo-black","",397,397,true,false,false,true,8,0
"mascote petreceri copii București",6,"https://animatoriiveseli.ro/","animatoriiveseli.ro","homepage","Animatori petreceri copii in Bucuresti | Divertisment","Închirieri Animatori petreceri copii
în București și Ilfov!",2943,1099,true,true,false,false,124,162
"mascote petreceri copii București",7,"https://www.cool-events.ro/animatori-petreceri-copii/","www.cool-events.ro","landing","Animatori Petreceri Copii In Bucuresti - Cool Events","Închiriere Animatori Petreceri Copii în București",724,862,true,true,false,false,46,5
"mascote petreceri copii București",8,"https://www.funevents.ro/","www.funevents.ro","homepage","Animatori petreceri copii Bucuresti si Ilfov - Fun Events","",2239,2755,true,true,false,false,12,50
"decor baloane București",1,"https://partyballoons.ro/aranjamente-baloane-bucuresti/?srsltid=AfmBOor3NcEmcBB8WI5b4lP21L_HIGmY8XHGpsOkGuS8eLjzHy6erdfA","partyballoons.ro","landing","Decoruri cu baloane în București | Servicii profesionale PartyBalloons","Decor baloane pentru evenimente în București – servicii Party Balloons",1347,2666,true,false,true,false,105,22
"decor baloane București",2,"https://cocosevents.ro/aranjamente-baloane-bucuresti-ilfov/","cocosevents.ro","landing","Aranjamente Baloane București Ilfov – Decoratiuni Baloane","Aranjamente Baloane București & Ilfov",8838,2962,true,false,true,true,154,0
"decor baloane București",3,"https://baloane.net/","baloane.net","homepage","Baloane cu heliu personalizate, decoratiuni nunta","",2385,2385,true,true,false,false,61,16
"decor baloane București",4,"https://www.olx.ro/bucuresti/q-decoratiuni-baloane/","www.olx.ro","landing","decoratiuni baloane Bucuresti - Anunturi gratuite","decoratiuni baloane Bucuresti - Anunturi gratuite",711,711,true,true,false,false,44,113
"decor baloane București",5,"https://flev.eu/collections/decoruri-baloane-evenimente?srsltid=AfmBOooHr1Xw3LQxIbxz54XcLNvJLFF-NVAaG0ll48tB3EUGCWe8fh4Y","flev.eu","landing","Decoruri cu Baloane pentru Evenimente | București & Brașov – flev.eu
  BLIKMaestroMastercardMobilePayVisa","",2103,2103,true,false,false,false,194,343
"decor baloane București",6,"https://superbaloane.ro/?srsltid=AfmBOoovZNiSZzOk0WPB1w1NI5Xu4cSYO_dyW2Q7DhKLjLSQg5rMNWK7","superbaloane.ro","homepage","Baloane cu heliu I Baloane cifre I Bucuresti I Superbaloane","BALOANE CU HELIU",3690,2001,true,true,true,true,41,10
"decor baloane București",7,"https://www.e-jumbo.ro/ro/produse-de-petrecere/decoratiuni-accesorii-de-petrecere/baloane/","www.e-jumbo.ro","landing","Access Denied","Access Denied",15,15,false,false,false,false,0,0
"decor baloane București",8,"https://royalmariage.ro/arcada-baloane/","royalmariage.ro","landing","Arcada Baloane - Decoratiuni Baloane si Ghirlanda Baloane","",1354,1354,true,false,true,true,52,3
"decor baloane București",9,"https://www.velvetevents.ro/","www.velvetevents.ro","homepage","VelvetEvents.ro - photo corner | arcade baloane | baloane cu heliu | candy bar | fruit bar | animatori petreceri copii | ursitoare botez | cabina foto | platforma video booth 360 | aranjamente florale","-20% LA TOATE ARCADELE DE BALOANE",599,816,true,true,false,false,33,45
"aranjamente baloane București",1,"https://partyballoons.ro/aranjamente-baloane-bucuresti/?srsltid=AfmBOop_N-uvaDjxHJigsIHL0YPAASdNHMZRBP7B4pLHo_FjV8u34VTx","partyballoons.ro","landing","Decoruri cu baloane în București | Servicii profesionale PartyBalloons","Decor baloane pentru evenimente în București – servicii Party Balloons",1347,2720,true,false,true,false,104,23
"aranjamente baloane București",2,"https://cocosevents.ro/aranjamente-baloane-bucuresti-ilfov/","cocosevents.ro","landing","Aranjamente Baloane București Ilfov – Decoratiuni Baloane","Aranjamente Baloane București & Ilfov",8838,2962,true,false,true,true,154,0
"aranjamente baloane București",3,"https://royalmariage.ro/arcada-baloane/","royalmariage.ro","landing","Arcada Baloane - Decoratiuni Baloane si Ghirlanda Baloane","",1354,1354,true,false,true,true,52,3
"aranjamente baloane București",4,"https://www.olx.ro/bucuresti-ilfov-judet/q-aranjament-baloane/","www.olx.ro","landing","aranjament baloane Bucuresti - Ilfov - Anunturi gratuite","aranjament baloane Bucuresti - Ilfov - Anunturi gratuite",1013,1013,true,true,false,false,53,138
"aranjamente baloane București",5,"https://www.velvetevents.ro/","www.velvetevents.ro","homepage","VelvetEvents.ro - photo corner | arcade baloane | baloane cu heliu | candy bar | fruit bar | animatori petreceri copii | ursitoare botez | cabina foto | platforma video booth 360 | aranjamente florale","-20% LA TOATE ARCADELE DE BALOANE",599,816,true,true,false,false,33,45
"aranjamente baloane București",6,"https://flev.eu/collections/decoruri-baloane-evenimente?srsltid=AfmBOopfOJz_yatmfrtnujDbl6_ddnvdQh4wLiisvxWQ7Z_HV1vfTrPd","flev.eu","landing","Decoruri cu Baloane pentru Evenimente | București & Brașov – flev.eu
  BLIKMaestroMastercardMobilePayVisa","",2103,2103,true,false,false,false,194,343
"aranjamente baloane București",7,"https://www.baloanebucuresti.ro/","www.baloanebucuresti.ro","homepage","Baloane cu Heliu București - Livrare în 2-4 Ore","Baloane cu Heliu în București și Ilfov",3188,3188,true,false,true,true,97,290
"aranjamente baloane București",8,"https://baloane.net/","baloane.net","homepage","Baloane cu heliu personalizate, decoratiuni nunta","",2385,2385,true,true,false,false,61,16
"aranjamente baloane București",9,"https://unevent.ro/servicii/oras/municipiul-bucuresti-bucuresti/decoratiuni-baloane","unevent.ro","landing","Decorațiuni baloane în București | UN:EVENT | UN:EVENT","Top Servicii Decorațiuni baloane în București",184,226,true,false,false,false,12,26
"aranjamente baloane București",10,"https://www.noblesse-events.ro/aranjamente-baloane/","www.noblesse-events.ro","landing","Aranjamente Baloane, Decoratiuni baloane nunta, botez - Noblesse Events","Aranjamente Baloane",2610,936,false,false,false,false,20,5
"petreceri copii Ilfov",1,"https://echipavesela.ro/animatori/","echipavesela.ro","landing","Animatori Petreceri Copii București și Ilfov. Peste 200 de personaje!","Petrecem       Inteligent!",423,423,true,true,false,false,1,5
"petreceri copii Ilfov",2,"https://animatori-petreceri-copii.ro/","animatori-petreceri-copii.ro","homepage","Animatori petreceri copii Bucuresti si Ilfov - Ursulla","Animatori petreceri copii",2583,941,true,true,false,false,3,19
"petreceri copii Ilfov",3,"https://www.mimakids.ro/","www.mimakids.ro","homepage","Petreceri Copii | Mimakids - Loc de joaca & Aniversari","Loc de Joacă & Petreceri Tematice, lângă București. Pachete de la 1.620 lei",483,506,true,true,true,true,46,13
"petreceri copii Ilfov",4,"https://www.bluparty.ro/locatii-petreceri-copii/","www.bluparty.ro","landing","Locatii Petreceri Copii in Bucuresti (sector 1, 2, 3, 4, 6) si Ilfov - BluParty","SUPER PETRECERI",558,749,true,false,false,true,19,13
"petreceri copii Ilfov",5,"https://www.animatorpetrecericopii.ro/","www.animatorpetrecericopii.ro","homepage","Servicii animatori copii Bucuresti si Ilfov - Animator Petreceri Copiicall-answercall-answermail-black-envelope-symbol","Organizam cele mai tari petreceri cu animatori pentru copilul tau!",275,1208,true,true,false,true,26,27
"petreceri copii Ilfov",6,"https://www.evenimente-copii.ro/","www.evenimente-copii.ro","homepage","Animatori Petreceri Copii București & Ilfov | La Domiciliu","Animatori petreceri copiiîn București și Ilfov",278,598,true,true,true,false,4,26
"petreceri copii Ilfov",7,"https://www.olx.ro/bucuresti-ilfov-judet/q-petreceri-copii/","www.olx.ro","landing","petreceri copii Bucuresti - Ilfov - Anunturi gratuite","petreceri copii Bucuresti - Ilfov - Anunturi gratuite",878,878,true,false,false,false,51,146
"petreceri copii Ilfov",8,"https://magicvalentino.ro/","magicvalentino.ro","homepage","Magician pentru copii la petreceri in Bucuresti si Ilfov","",1966,1023,true,false,false,true,34,68
"petreceri copii Ilfov",9,"https://zoukaevents.ro/","zoukaevents.ro","homepage","Petreceri Tematice Zouka Events – Petreceri tematice și animatori copii București | Organizare Evenimente","Animatori petreceri copii Bucuresti & Ilfov",1272,1338,true,false,false,true,15,65
"petreceri copii Ilfov",10,"https://www.funevents.ro/","www.funevents.ro","homepage","Animatori petreceri copii Bucuresti si Ilfov - Fun Events","",2239,2778,true,true,false,false,12,50
"animatori copii Ilfov",1,"https://www.olx.ro/bucuresti-ilfov-judet/q-animatori-copii/","www.olx.ro","landing","Animatori petreceri copii Ilfov - Anunturi private | OLX.ro","Animatori petreceri copii Ilfov",787,787,true,false,false,false,51,139
"animatori copii Ilfov",2,"https://echipavesela.ro/animatori/","echipavesela.ro","landing","Animatori Petreceri Copii București și Ilfov. Peste 200 de personaje!","Petrecem       Inteligent!",435,435,true,true,false,false,1,5
"animatori copii Ilfov",3,"https://ursitoaredinfolclor.ro/animatie-petreceri-copii/","ursitoaredinfolclor.ro","landing","Animatori Petreceri Copii Bucuresti - Ilfov | Preturi incepand de la 90 RON","Animatori petreceri copii Bucuresti-Ilfov",707,762,true,false,false,false,35,2
"animatori copii Ilfov",4,"https://animatori-petreceri-copii.ro/","animatori-petreceri-copii.ro","homepage","Animatori petreceri copii Bucuresti si Ilfov - Ursulla","Animatori petreceri copii",2583,941,true,true,false,false,3,19
"animatori copii Ilfov",5,"https://www.animatorpetrecericopii.ro/","www.animatorpetrecericopii.ro","homepage","Servicii animatori copii Bucuresti si Ilfov - Animator Petreceri Copiicall-answercall-answermail-black-envelope-symbol","Organizam cele mai tari petreceri cu animatori pentru copilul tau!",275,1208,true,true,false,true,26,27
"animatori copii Ilfov",6,"https://animatoriiveseli.ro/","animatoriiveseli.ro","homepage","Animatori petreceri copii in Bucuresti | Divertisment","Închirieri Animatori petreceri copii
în București și Ilfov!",2943,1099,true,true,false,false,124,162
"animatori copii Ilfov",7,"https://www.funevents.ro/animatori-petreceri-copii-la-domiciliu-bucuresti-si-ilfov/","www.funevents.ro","landing","Animatori petreceri copii la domiciliu Bucuresti si Ilfov - Fun Events","Animatori petreceri copii la domiciliu Bucuresti si Ilfov",1064,1580,true,true,false,false,23,3
"animatori copii Ilfov",8,"https://dizemanepe.ro/","dizemanepe.ro","homepage","Organizare Petreceri Copii Bucuresti ▷ DizemanepeFacebookInstagramTwitter","Organizare Petreceri Copii",2988,1321,true,true,true,false,11,38
"animatori copii Ilfov",9,"https://www.evenimente-copii.ro/","www.evenimente-copii.ro","homepage","Animatori Petreceri Copii București & Ilfov | La Domiciliu","Animatori petreceri copiiîn București și Ilfov",278,598,true,true,true,false,4,26
"animatori copii Ilfov",10,"https://www.cool-events.ro/animatori-petreceri-copii/","www.cool-events.ro","landing","Animatori Petreceri Copii In Bucuresti - Cool Events","Închiriere Animatori Petreceri Copii în București",724,862,true,true,false,false,46,5
"decor baloane Ilfov",1,"https://cocosevents.ro/aranjamente-baloane-bucuresti-ilfov/","cocosevents.ro","landing","Aranjamente Baloane București Ilfov – Decoratiuni Baloane","Aranjamente Baloane București & Ilfov",8838,2962,true,false,true,true,154,0
"decor baloane Ilfov",2,"https://www.olx.ro/bucuresti-ilfov-judet/q-decor-cu-baloane/","www.olx.ro","landing","decor cu baloane Bucuresti - Ilfov - Anunturi gratuite","decor cu baloane Bucuresti - Ilfov - Anunturi gratuite",806,806,true,true,false,false,52,135
"decor baloane Ilfov",3,"https://www.baloanebucuresti.ro/arcade-%C8%99i-aranjamente","www.baloanebucuresti.ro","service","Arcade și Aranjamente cu Baloane – Decor în București și Ilfov","Aranjamente",539,539,false,false,false,false,4,0
"decor baloane Ilfov",4,"https://partyballoons.ro/aranjamente-baloane-bucuresti/?srsltid=AfmBOopG4zlcYEpAZOPSvUaQjuFKTBy4N2i2-c7K8Xl9xdt5Prj0Psnn","partyballoons.ro","landing","Decoruri cu baloane în București | Servicii profesionale PartyBalloons","Decor baloane pentru evenimente în București – servicii Party Balloons",1347,2724,true,false,true,false,107,26
"decor baloane Ilfov",5,"https://flev.eu/collections/decoruri-baloane-evenimente?srsltid=AfmBOoo63GCZrhi_Lnug-8KMFaoy_hL8k7bFolXqKajqvYnwYf4G6rJ3","flev.eu","landing","Decoruri cu Baloane pentru Evenimente | București & Brașov – flev.eu
  BLIKMaestroMastercardMobilePayVisa","",2103,2103,true,false,false,false,194,343
"decor baloane Ilfov",6,"https://www.olx.ro/bucuresti-ilfov-judet/q-aranjament-baloane/","www.olx.ro","landing","aranjament baloane Bucuresti - Ilfov - Anunturi gratuite","aranjament baloane Bucuresti - Ilfov - Anunturi gratuite",851,851,true,true,false,false,53,138
"decor baloane Ilfov",7,"https://www.velvetevents.ro/","www.velvetevents.ro","homepage","VelvetEvents.ro - photo corner | arcade baloane | baloane cu heliu | candy bar | fruit bar | animatori petreceri copii | ursitoare botez | cabina foto | platforma video booth 360 | aranjamente florale","-20% LA TOATE ARCADELE DE BALOANE",599,816,true,true,false,false,33,45
"decor baloane Ilfov",8,"https://royalmariage.ro/arcada-baloane/","royalmariage.ro","landing","Arcada Baloane - Decoratiuni Baloane si Ghirlanda Baloane","",1354,1354,true,false,true,true,52,3
"decor baloane Ilfov",9,"https://www.kassia.ro/decoratiuni-baloane-majorat-bucuresti/","www.kassia.ro","landing","Decorațiuni Baloane Majorat București și Ilfov | Kassia Events","Decorațiuni cu baloane pentru majorat în București și Ilfov",1573,1283,true,false,true,true,27,82
"animatori petreceri copii Floreasca",1,"https://animatori-petreceri-copii.ro/","animatori-petreceri-copii.ro","homepage","Animatori petreceri copii Bucuresti si Ilfov - Ursulla","Animatori petreceri copii",2583,941,true,true,false,false,3,19
"animatori petreceri copii Floreasca",2,"https://dizemanepe.ro/","dizemanepe.ro","homepage","Organizare Petreceri Copii Bucuresti ▷ DizemanepeFacebookInstagramTwitter","Organizare Petreceri Copii",2988,1321,true,true,true,false,11,38
"animatori petreceri copii Floreasca",3,"https://www.cool-events.ro/animatori-petreceri-copii/","www.cool-events.ro","landing","Animatori Petreceri Copii In Bucuresti - Cool Events","Închiriere Animatori Petreceri Copii în București",724,862,true,true,false,false,46,5
"animatori petreceri copii Floreasca",4,"https://www.funevents.ro/animatori-petreceri-copii-la-domiciliu-bucuresti-si-ilfov/","www.funevents.ro","landing","Animatori petreceri copii la domiciliu Bucuresti si Ilfov - Fun Events","Animatori petreceri copii la domiciliu Bucuresti si Ilfov",1064,1580,true,true,false,false,23,3
"animatori petreceri copii Floreasca",5,"https://petrecerimagice.ro/","petrecerimagice.ro","homepage","Petreceri Magice - Animatori petreceri copii Bucuresti","Petreceri Magice",708,708,true,false,false,false,20,34
"animatori petreceri copii Floreasca",6,"https://www.animatorpetrecericopii.ro/","www.animatorpetrecericopii.ro","homepage","Servicii animatori copii Bucuresti si Ilfov - Animator Petreceri Copiicall-answercall-answermail-black-envelope-symbol","Organizam cele mai tari petreceri cu animatori pentru copilul tau!",275,1208,true,true,false,true,26,27
"animatori petreceri copii Floreasca",7,"https://animatoriiveseli.ro/","animatoriiveseli.ro","homepage","Animatori petreceri copii in Bucuresti | Divertisment","Închirieri Animatori petreceri copii
în București și Ilfov!",2943,1099,true,true,false,false,124,162
"animatori petreceri copii Floreasca",8,"https://zoukaevents.ro/","zoukaevents.ro","homepage","Petreceri Tematice Zouka Events – Petreceri tematice și animatori copii București | Organizare Evenimente","Animatori petreceri copii Bucuresti & Ilfov",1272,1338,true,false,false,true,15,65
"animatori petreceri copii Floreasca",9,"https://clubuldisney.com/","clubuldisney.com","homepage","Organizare petreceri pentru copii - Clubuldisney.com","",434,737,true,false,true,true,17,32
"animatori copii Floreasca",1,"https://animatori-petreceri-copii.ro/","animatori-petreceri-copii.ro","homepage","Animatori petreceri copii Bucuresti si Ilfov - Ursulla","Animatori petreceri copii",2583,941,true,true,false,false,3,19
"animatori copii Floreasca",2,"https://dizemanepe.ro/","dizemanepe.ro","homepage","Organizare Petreceri Copii Bucuresti ▷ DizemanepeFacebookInstagramTwitter","Organizare Petreceri Copii",2988,1321,true,true,true,false,11,38
"animatori copii Floreasca",3,"https://www.cool-events.ro/animatori-petreceri-copii/","www.cool-events.ro","landing","Animatori Petreceri Copii In Bucuresti - Cool Events","Închiriere Animatori Petreceri Copii în București",724,862,true,true,false,false,46,5
"animatori copii Floreasca",4,"https://clubuldisney.com/","clubuldisney.com","homepage","Organizare petreceri pentru copii - Clubuldisney.com","",434,737,true,false,true,true,17,32
"animatori copii Floreasca",5,"https://superparty.ro/animatori-copii-sector-2/","superparty.ro","landing","Animatori copii Sector 2 (⭐ 5/5 + de la 490 lei) | Grupuri mari, energie controlată | SuperParty","Animatori copii Sector 2 – gestionăm grupuri mari și energie dispersată (⭐ 5/5 + de la 490 lei)",2734,2778,true,true,true,true,4,14
"animatori copii Floreasca",6,"https://zoukaevents.ro/","zoukaevents.ro","homepage","Petreceri Tematice Zouka Events – Petreceri tematice și animatori copii București | Organizare Evenimente","Animatori petreceri copii Bucuresti & Ilfov",1272,1338,true,false,false,true,15,65
"animatori copii Floreasca",7,"https://www.animatorpetrecericopii.ro/","www.animatorpetrecericopii.ro","homepage","Servicii animatori copii Bucuresti si Ilfov - Animator Petreceri Copiicall-answercall-answermail-black-envelope-symbol","Organizam cele mai tari petreceri cu animatori pentru copilul tau!",275,1208,true,true,false,true,26,27
"animatori copii Floreasca",8,"https://www.anastasiaevents.ro/animatori-si-mascote/","www.anastasiaevents.ro","landing","ANIMATORI SI MASCOTE - Petreceri copii 2026elrond-logo-black","",397,397,true,false,false,true,8,0
"animatori copii Floreasca",9,"https://animatoriiveseli.ro/","animatoriiveseli.ro","homepage","Animatori petreceri copii in Bucuresti | Divertisment","Închirieri Animatori petreceri copii
în București și Ilfov!",2949,1101,true,true,false,false,154,162
