proposed_keyword,proposed_slug,exists_exact_in_db,exists_partial_in_db,matching_db_pages,exists_live,should_create_new,should_publish_existing_db_page,should_improve_existing_live_page,reason
"mascote petreceri copii bucurești","mascote-petreceri-copii-bucuresti",true,true,"https://www.kassia.ro/mascote-petreceri-copii-bucuresti;https://www.kassia.ro/animatori-cu-mascote-petreceri-copii-bucuresti;https://www.kassia.ro/animatori-petreceri-copii-bucuresti",true,false,false,true,"Already Live, Needs Growth"
"mascote petreceri copii sector 1","mascote-petreceri-copii-sector-1",false,false,"",false,true,false,false,"Missing in DB"
"mascote petreceri copii voluntari","mascote-petreceri-copii-voluntari",false,false,"",false,true,false,false,"Missing in DB"
"mascote petreceri copii popești-leordeni","mascote-petreceri-copii-popesti-leordeni",false,false,"",false,true,false,false,"Missing in DB"
"pictură pe față bucurești","pictura-pe-fata-bucuresti",true,true,"https://www.kassia.ro/pachet-animator-si-pictura-pe-fata-bucuresti;https://www.kassia.ro/pictura-pe-fata-copii-bucuresti",true,false,false,true,"Already Live, Needs Growth"
"pictură pe față ilfov","pictura-pe-fata-ilfov",false,true,"https://www.kassia.ro/pictura-pe-fata-copii-bucuresti",true,false,false,true,"Already Live, Needs Growth"
"pictură pe față sector 1","pictura-pe-fata-sector-1",false,false,"",false,true,false,false,"Missing in DB"
"pictură pe față voluntari","pictura-pe-fata-voluntari",false,false,"",false,true,false,false,"Missing in DB"
"pictură pe față popești-leordeni","pictura-pe-fata-popesti-leordeni",false,false,"",false,true,false,false,"Missing in DB"
"modelaj baloane bucurești","modelaj-baloane-bucuresti",false,true,"https://www.kassia.ro/modelaj-baloane-copii-bucuresti",true,false,false,true,"Already Live, Needs Growth"
