keyword_cluster,service,location,existing_page,existing_url,matching_confidence,page_quality,cannibalization_risk,cannibalizing_urls,search_intent,should_improve_existing,should_create_new_page,priority,reason
"personaje petreceri copii Sector 6","personaje petreceri copii","Sector 6",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Ilfov","personaje petreceri copii","Ilfov",true,"https://www.kassia.ro/personaje-animatori-copii-bucuresti","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"personaje petreceri copii Popești-Leordeni","personaje petreceri copii","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Voluntari","personaje petreceri copii","Voluntari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Pipera","personaje petreceri copii","Pipera",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Otopeni","personaje petreceri copii","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Chiajna","personaje petreceri copii","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Bragadiru","personaje petreceri copii","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Măgurele","personaje petreceri copii","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Pantelimon","personaje petreceri copii","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Berceni","personaje petreceri copii","Berceni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Domnești","personaje petreceri copii","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Tunari","personaje petreceri copii","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"personaje petreceri copii Corbeanca","personaje petreceri copii","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față București","pictură pe față","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Sector 1","pictură pe față","Sector 1",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Sector 2","pictură pe față","Sector 2",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Sector 3","pictură pe față","Sector 3",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Sector 4","pictură pe față","Sector 4",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Sector 5","pictură pe față","Sector 5",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Sector 6","pictură pe față","Sector 6",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Ilfov","pictură pe față","Ilfov",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Popești-Leordeni","pictură pe față","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Voluntari","pictură pe față","Voluntari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Pipera","pictură pe față","Pipera",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Otopeni","pictură pe față","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Chiajna","pictură pe față","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Bragadiru","pictură pe față","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Măgurele","pictură pe față","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Pantelimon","pictură pe față","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Berceni","pictură pe față","Berceni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Domnești","pictură pe față","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Tunari","pictură pe față","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"pictură pe față Corbeanca","pictură pe față","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane București","modelaj baloane","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Sector 1","modelaj baloane","Sector 1",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Sector 2","modelaj baloane","Sector 2",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Sector 3","modelaj baloane","Sector 3",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Sector 4","modelaj baloane","Sector 4",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Sector 5","modelaj baloane","Sector 5",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Sector 6","modelaj baloane","Sector 6",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Ilfov","modelaj baloane","Ilfov",true,"https://www.kassia.ro/modelaj-baloane-copii-bucuresti","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"modelaj baloane Popești-Leordeni","modelaj baloane","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Voluntari","modelaj baloane","Voluntari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Pipera","modelaj baloane","Pipera",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Otopeni","modelaj baloane","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Chiajna","modelaj baloane","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Bragadiru","modelaj baloane","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Măgurele","modelaj baloane","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Pantelimon","modelaj baloane","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Berceni","modelaj baloane","Berceni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Domnești","modelaj baloane","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Tunari","modelaj baloane","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"modelaj baloane Corbeanca","modelaj baloane","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco București","mini-disco","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Sector 1","mini-disco","Sector 1",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Sector 2","mini-disco","Sector 2",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Sector 3","mini-disco","Sector 3",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Sector 4","mini-disco","Sector 4",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Sector 5","mini-disco","Sector 5",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Sector 6","mini-disco","Sector 6",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Ilfov","mini-disco","Ilfov",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Popești-Leordeni","mini-disco","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Voluntari","mini-disco","Voluntari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Pipera","mini-disco","Pipera",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Otopeni","mini-disco","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Chiajna","mini-disco","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Bragadiru","mini-disco","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Măgurele","mini-disco","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Pantelimon","mini-disco","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Berceni","mini-disco","Berceni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Domnești","mini-disco","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Tunari","mini-disco","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"mini-disco Corbeanca","mini-disco","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii București","jocuri interactive copii","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Sector 1","jocuri interactive copii","Sector 1",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Sector 2","jocuri interactive copii","Sector 2",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Sector 3","jocuri interactive copii","Sector 3",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Sector 4","jocuri interactive copii","Sector 4",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Sector 5","jocuri interactive copii","Sector 5",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Sector 6","jocuri interactive copii","Sector 6",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Ilfov","jocuri interactive copii","Ilfov",true,"https://www.kassia.ro/jocuri-interactive-copii-bucuresti","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"jocuri interactive copii Popești-Leordeni","jocuri interactive copii","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Voluntari","jocuri interactive copii","Voluntari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Pipera","jocuri interactive copii","Pipera",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Otopeni","jocuri interactive copii","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Chiajna","jocuri interactive copii","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Bragadiru","jocuri interactive copii","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Măgurele","jocuri interactive copii","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Pantelimon","jocuri interactive copii","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Berceni","jocuri interactive copii","Berceni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Domnești","jocuri interactive copii","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Tunari","jocuri interactive copii","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"jocuri interactive copii Corbeanca","jocuri interactive copii","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori botez București","animatori botez","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori botez Sector 1","animatori botez","Sector 1",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-1","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori botez Sector 2","animatori botez","Sector 2",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-2","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori botez Sector 3","animatori botez","Sector 3",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-3","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori botez Sector 4","animatori botez","Sector 4",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-4","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori botez Sector 5","animatori botez","Sector 5",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-5","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori botez Sector 6","animatori botez","Sector 6",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-6","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori botez Ilfov","animatori botez","Ilfov",true,"https://www.kassia.ro/animatori-petreceri-copii","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori botez Popești-Leordeni","animatori botez","Popești-Leordeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori botez Voluntari","animatori botez","Voluntari",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori botez Pipera","animatori botez","Pipera",true,"https://www.kassia.ro/animatori-petreceri-copii-voluntari","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori botez Otopeni","animatori botez","Otopeni",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori botez Chiajna","animatori botez","Chiajna",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori botez Bragadiru","animatori botez","Bragadiru",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori botez Măgurele","animatori botez","Măgurele",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori botez Pantelimon","animatori botez","Pantelimon",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori botez Berceni","animatori botez","Berceni",true,"https://www.kassia.ro/animatori-petreceri-copii-berceni","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori botez Domnești","animatori botez","Domnești",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori botez Tunari","animatori botez","Tunari",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori botez Corbeanca","animatori botez","Corbeanca",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori moț și turtă București","animatori moț și turtă","București",false,"","none","missing",false,"","Commercial Investigation",false,true,"P1","Missing dedicated page"
"animatori moț și turtă Sector 1","animatori moț și turtă","Sector 1",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-1","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori moț și turtă Sector 2","animatori moț și turtă","Sector 2",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-2","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori moț și turtă Sector 3","animatori moț și turtă","Sector 3",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-3","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori moț și turtă Sector 4","animatori moț și turtă","Sector 4",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-4","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori moț și turtă Sector 5","animatori moț și turtă","Sector 5",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-5","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
"animatori moț și turtă Sector 6","animatori moț și turtă","Sector 6",true,"https://www.kassia.ro/animatori-petreceri-copii-sector-6","partial","strong",false,"","Commercial Investigation",false,false,"P2","Needs improvement"
